Day,Date,Phase,Role focus,Top 5 tasks,Expected deliverable(s)
1,2026-01-16,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
2,2026-01-17,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
3,2026-01-18,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
4,2026-01-19,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
5,2026-01-20,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
6,2026-01-21,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
7,2026-01-22,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Weekly demo + merged PRs + updated changelog
8,2026-01-23,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
9,2026-01-24,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
10,2026-01-25,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
11,2026-01-26,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
12,2026-01-27,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
13,2026-01-28,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
14,2026-01-29,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Milestone review package + sign-off checklist
15,2026-01-30,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
16,2026-01-31,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
17,2026-02-01,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
18,2026-02-02,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
19,2026-02-03,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
20,2026-02-04,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
21,2026-02-05,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Weekly demo + merged PRs + updated changelog
22,2026-02-06,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
23,2026-02-07,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
24,2026-02-08,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
25,2026-02-09,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
26,2026-02-10,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
27,2026-02-11,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
28,2026-02-12,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Weekly demo + merged PRs + updated changelog
29,2026-02-13,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
30,2026-02-14,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
31,2026-02-15,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
32,2026-02-16,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
33,2026-02-17,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
34,2026-02-18,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Daily update + PR(s) or artifact(s) linked in Command Report
35,2026-02-19,Core Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Test onboarding flows end-to-end + edge cases; Validate keyword/hashtag outputs + language correctness; Draft 5 ad scripts EN/FR + shotlists + posting plan; Define pricing, revenue streams, and forecast assumptions (annual); Assist Smit with payments test mode + webhook tests",Milestone review package + sign-off checklist
36,2026-02-20,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Design monthly “hot” editorial rules + moderation workflow; QA viral widgets (embed, tracking, anti-spam); Set up analytics dashboards (basic KPIs) + reporting cadence; Draft partnership/outreach kits for authors; Overflow dev support for Smit: backlog items from admin",Daily update + PR(s) or artifact(s) linked in Command Report
37,2026-02-21,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Design monthly “hot” editorial rules + moderation workflow; QA viral widgets (embed, tracking, anti-spam); Set up analytics dashboards (basic KPIs) + reporting cadence; Draft partnership/outreach kits for authors; Overflow dev support for Smit: backlog items from admin",Daily update + PR(s) or artifact(s) linked in Command Report
38,2026-02-22,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Design monthly “hot” editorial rules + moderation workflow; QA viral widgets (embed, tracking, anti-spam); Set up analytics dashboards (basic KPIs) + reporting cadence; Draft partnership/outreach kits for authors; Overflow dev support for Smit: backlog items from admin",Daily update + PR(s) or artifact(s) linked in Command Report
39,2026-02-23,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Design monthly “hot” editorial rules + moderation workflow; QA viral widgets (embed, tracking, anti-spam); Set up analytics dashboards (basic KPIs) + reporting cadence; Draft partnership/outreach kits for authors; Overflow dev support for Smit: backlog items from admin",Daily update + PR(s) or artifact(s) linked in Command Report
40,2026-02-24,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Design monthly “hot” editorial rules + moderation workflow; QA viral widgets (embed, tracking, anti-spam); Set up analytics dashboards (basic KPIs) + reporting cadence; Draft partnership/outreach kits for authors; Overflow dev support for Smit: backlog items from admin",Daily update + PR(s) or artifact(s) linked in Command Report
41,2026-02-25,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Design monthly “hot” editorial rules + moderation workflow; QA viral widgets (embed, tracking, anti-spam); Set up analytics dashboards (basic KPIs) + reporting cadence; Draft partnership/outreach kits for authors; Overflow dev support for Smit: backlog items from admin",Daily update + PR(s) or artifact(s) linked in Command Report
42,2026-02-26,Growth Features,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Design monthly “hot” editorial rules + moderation workflow; QA viral widgets (embed, tracking, anti-spam); Set up analytics dashboards (basic KPIs) + reporting cadence; Draft partnership/outreach kits for authors; Overflow dev support for Smit: backlog items from admin",Weekly demo + merged PRs + updated changelog
